epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,5222.43,1.12151,2.62663,0.15883,0.66584,0.93931,0.95516,0.92695,0.97107,0.69375,0.81216,0.78959,0.72518,0.58211,1.0217,2.50331,0.05916,0.59774,0.9267,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,5314.99,1.11177,2.48865,0.16302,0.67095,0.93204,0.96872,0.93597,0.97476,0.69518,0.81096,0.79345,0.71809,0.57936,0.99938,2.46165,0.0549,0.60215,0.92431,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,5406.73,1.11871,2.51342,0.15866,0.65804,0.94102,0.96107,0.93073,0.97002,0.70355,0.82395,0.79723,0.72394,0.57981,1.00139,2.42235,0.05631,0.59305,0.92798,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,5499.67,1.11118,2.41945,0.1542,0.65568,0.9328,0.9718,0.92191,0.97528,0.70203,0.81613,0.79597,0.74425,0.59869,1.00645,2.38508,0.05697,0.60346,0.9274,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,5591.74,1.1077,2.44279,0.16157,0.65823,0.93293,0.9689,0.94169,0.97445,0.70607,0.8492,0.81559,0.76499,0.62218,0.99535,2.15603,0.05622,0.58038,0.92245,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,5683.96,1.09853,2.41081,0.15867,0.6499,0.93158,0.96993,0.93448,0.97602,0.7018,0.81701,0.79851,0.73011,0.59536,0.99829,2.34387,0.05543,0.58756,0.92379,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,5776.3,1.11187,2.39363,0.15506,0.65863,0.93417,0.95591,0.93577,0.9746,0.69387,0.83428,0.81738,0.76488,0.62598,0.99919,2.17345,0.05451,0.58459,0.92411,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,5868.88,1.0842,2.28139,0.15104,0.637,0.92713,0.95488,0.9329,0.9735,0.69876,0.85236,0.84131,0.78871,0.64464,0.99866,2.01396,0.05306,0.59705,0.92214,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,5961.57,1.0929,2.32983,0.15884,0.64954,0.93181,0.9654,0.94207,0.97603,0.71735,0.83247,0.81234,0.76197,0.63721,0.9733,2.18822,0.05597,0.57447,0.91577,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,6054.52,1.08611,2.33085,0.15443,0.64829,0.92568,0.96274,0.92947,0.97413,0.7109,0.8355,0.80597,0.75669,0.6343,0.9894,2.24485,0.05283,0.57593,0.9144,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,6146.99,1.07349,2.25022,0.15232,0.63171,0.92629,0.95294,0.94365,0.97703,0.70697,0.81198,0.80101,0.74122,0.62025,0.9739,2.33229,0.05136,0.57619,0.91459,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
