epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,6134.14,1.07083,2.41819,0.15988,0.63375,0.92425,0.9725,0.93791,0.98163,0.70594,0.84655,0.8177,0.76946,0.62476,0.98341,2.16909,0.05562,0.57177,0.9134,0.0013466,0.0013466,0.0013466
68,6225.92,1.06194,2.37503,0.15981,0.62389,0.91952,0.97409,0.94367,0.97841,0.70399,0.81379,0.79128,0.72369,0.58359,0.9797,2.42335,0.05613,0.55611,0.9148,0.0013367,0.0013367,0.0013367
69,6316.46,1.05686,2.32034,0.16405,0.62998,0.92173,0.97297,0.95085,0.97941,0.71026,0.83664,0.82431,0.76293,0.62454,0.98313,2.23606,0.05321,0.5662,0.91703,0.0013268,0.0013268,0.0013268
70,6407.27,1.05709,2.30926,0.16071,0.62317,0.92318,0.96182,0.94188,0.97452,0.70011,0.84615,0.82431,0.76726,0.61796,0.99317,2.19137,0.0553,0.56907,0.91461,0.0013169,0.0013169,0.0013169
71,6498.07,1.06789,2.35212,0.15195,0.62475,0.9197,0.97261,0.938,0.97602,0.72043,0.84254,0.81285,0.76458,0.62582,0.95198,2.2524,0.05238,0.56339,0.90898,0.001307,0.001307,0.001307
72,6589.35,1.07095,2.31656,0.15999,0.62237,0.92359,0.96878,0.94274,0.97975,0.72439,0.8467,0.82034,0.77119,0.64248,0.94783,2.15801,0.05209,0.55251,0.90758,0.0012971,0.0012971,0.0012971
73,6680.14,1.04846,2.33186,0.15516,0.61392,0.91994,0.97833,0.93395,0.97707,0.70956,0.84502,0.80668,0.76635,0.63287,0.97156,2.22655,0.05172,0.57216,0.91497,0.0012872,0.0012872,0.0012872
74,6770.98,1.05148,2.30672,0.16056,0.61248,0.91933,0.97262,0.93869,0.97586,0.71398,0.82966,0.7926,0.72889,0.59942,0.9507,2.42483,0.05461,0.55423,0.90998,0.0012773,0.0012773,0.0012773
75,6861.93,1.04533,2.35939,0.15953,0.61715,0.92065,0.9743,0.93395,0.97675,0.71817,0.82856,0.79392,0.74887,0.62484,0.95294,2.27049,0.05227,0.56764,0.91161,0.0012674,0.0012674,0.0012674
76,6952.71,1.05109,2.29288,0.15603,0.61919,0.9143,0.97424,0.94584,0.98199,0.72323,0.82593,0.80185,0.73671,0.60864,0.94194,2.31551,0.05083,0.54782,0.90368,0.0012575,0.0012575,0.0012575
77,7043.47,1.05583,2.22695,0.16475,0.61394,0.91715,0.96474,0.93979,0.97547,0.71558,0.837,0.79365,0.76354,0.63463,0.96448,2.22896,0.05064,0.57409,0.90379,0.0012476,0.0012476,0.0012476
78,7134.17,1.01856,2.21541,0.14682,0.59748,0.9078,0.9738,0.9432,0.97874,0.71547,0.85892,0.81902,0.77449,0.65073,0.95096,2.06737,0.05156,0.54646,0.9061,0.0012377,0.0012377,0.0012377
79,7224.89,1.04402,2.1689,0.15298,0.61841,0.91472,0.96645,0.95147,0.98407,0.71945,0.85161,0.83223,0.77774,0.6519,0.93824,1.96834,0.05187,0.53903,0.90133,0.0012278,0.0012278,0.0012278
80,7315.74,1.03718,2.19777,0.15306,0.60746,0.91171,0.9726,0.94452,0.97894,0.7215,0.86067,0.83884,0.78003,0.64246,0.93449,1.97931,0.0512,0.54256,0.89661,0.0012179,0.0012179,0.0012179
